OBJECTID,EASTING,NORTHING
2961,526306,192357
2962,526306,192357
2963,526306,192357
2964,526288,192122
2965,526359,192118
2966,526264,192167
2967,526311,192383
2968,526346,191980
2969,526287,191972
2970,526311,192383
2971,525961,192252
2972,525961,192252
2973,525573,192230
2974,525961,192252
2975,525716,192237
2976,525961,192252
2977,525826,191888
2978,525826,191888
2979,526153,192013
2980,525937,191929
2981,526128,191852
2982,525937,191929
2983,526128,191852
2984,526128,191852
2985,525838,191736
2986,525908,191633
2987,526153,192013
2988,526047,191609
2989,525850,191460
2990,525850,191460
2991,525966,191590
2992,526179,191390
2993,526047,191609
2994,526035,191533
2995,525966,191590
2996,526092,191304
2997,526047,191609
2998,526035,191533
2999,526079,191205
3000,526047,191609
3001,526291,191678
3002,526542,191868
3003,526542,191868
3004,526542,191868
3005,526577,191650
3006,526542,191868
3007,526967,191860
3008,526542,191868
3009,526795,191658
3010,526894,191882
3011,526894,191882
3012,526795,191658
3013,526461,191896
3014,526309,191770
3015,526309,191770
3016,526499,192233
3017,526428,191980
3018,526477,192252
3019,526391,192271
3020,526416,192212
3021,526477,192508
3022,526391,192271
3023,526391,192271
3024,526391,192271
3025,526309,191770
3026,526423,192153
3423,524338,190343
3424,524300,190935
3425,524238,191070
3426,524826,190741
3427,524826,190741
3428,523793,191048
3429,523786,191433
3430,523793,191048
3431,523869,191289
3432,523506,191296
3433,523867,191130
3434,524239,191106
3435,523701,191306
3436,523815,191238
3437,523867,191130
3438,523921,191386
3439,523867,191130
3440,523701,191306
3441,522669,190523
3442,522073,190971
3443,522319,190686
3444,522144,191126
3445,522293,191240
3446,522194,190900
3447,522242,191091
3448,522293,191240
3449,522194,190900
3450,522302,190677
3451,522669,190523
3452,522052,191167
3453,522052,191167
3454,522052,191167
3455,523005,190496
3456,522052,191167
3457,522052,191167
3458,522688,191275
3459,522688,191275
3460,522688,191275
3461,522688,191275
3462,522688,191275
3463,522302,190677
3464,522147,191226
3465,522052,191167
3466,522052,191167
3467,521384,190453
3468,521050,190458
3469,521135,190721
3470,521256,190494
3471,521133,190596
3472,521694,190789
3473,521808,190508
3474,521699,190760
3475,521805,190618
3476,521808,190508
3477,521694,190789
3478,521808,190508
3479,521808,190508
3480,521805,190618
3481,521678,190893
3482,521724,190725
3483,521724,190725
3484,521626,190560
3485,521615,190717
3486,521678,190893
3487,521805,190618
525,546627,185878
526,546492,185709
527,546650,185607
528,546650,185607
529,546234,185605
530,546627,185878
531,546492,185709
532,546650,185607
533,546627,185878
534,546492,185709
535,546907,185805
536,546907,185805
537,546907,185805
538,546907,185805
539,547202,185683
540,547251,185780
541,547286,185529
542,547202,185683
543,547286,185529
544,546762,185637
545,546977,185583
546,546861,185593
547,546748,185506
548,546977,185583
549,546748,185506
550,546748,185506
551,547603,185553
552,547543,185674
553,547596,185600
554,547543,185674
555,547367,185318
556,547603,185553
557,547596,185600
558,547596,185600
559,547543,185674
560,547543,185674
561,547543,185674
562,547311,185629
563,547518,185670
564,547790,185801
565,547596,185600
566,547396,185637
567,547543,185674
568,547596,185600
569,549692,184964
570,549500,184895
571,549884,184970
572,549544,185141
573,549541,184817
574,549434,185104
575,549692,184964
576,549744,185125
577,549135,185417
578,549070,185586
579,549541,185756
580,549541,185756
581,549541,185756
582,549541,185756
583,549029,185473
584,548875,185589
585,548884,185367
586,548828,185707
587,548924,185441
588,548884,185367
589,548828,185707
590,548828,185707
591,549294,185386
592,549294,185386
593,549133,185298
594,549294,185386
595,549394,185415
596,549394,185415
597,549629,185189
598,548603,185308
